,invoice_id,glean_text,glean_type,invoice_date,glean_location,canonical_vendor_id
24,829fe906-56e2-481e-9bb0-b27e75f16f15,First new bill in 11.0 months from vendor 6152f258-554d-4e4c-be58-1b47080b3e33,vendor_not_seen_in_a_while,2020-06-10,invoice,6152f258-554d-4e4c-be58-1b47080b3e33
25,0bf92123-9ecd-4926-bc31-6f77a32e72e2,First new bill in 3.0 months from vendor 8617bc6b-a5c1-4441-b148-bb3268a1b4e6,vendor_not_seen_in_a_while,2020-11-07,invoice,8617bc6b-a5c1-4441-b148-bb3268a1b4e6
26,d1a6beb8-12d4-456a-a0b4-0e7340ad504d,First new bill in 10.0 months from vendor 8f3ae183-3da9-4113-b432-e559dcba8f1c,vendor_not_seen_in_a_while,2020-02-24,invoice,8f3ae183-3da9-4113-b432-e559dcba8f1c
27,ac37194f-7d1f-4ed9-92cf-973dc0321d3f,First new bill in 3.0 months from vendor 8f3ae183-3da9-4113-b432-e559dcba8f1c,vendor_not_seen_in_a_while,2020-06-07,invoice,8f3ae183-3da9-4113-b432-e559dcba8f1c
28,08b56076-7807-4da7-9a74-d26da2b081ce,First new bill in 5.0 months from vendor a5883740-aea5-4716-8f07-7b4765cb2385,vendor_not_seen_in_a_while,2020-04-24,invoice,a5883740-aea5-4716-8f07-7b4765cb2385
29,1f00af61-b29d-4b9e-b765-90e4cb0d2c62,First new bill in 3.0 months from vendor 9fe35cea-622b-444f-8af1-a6f487fd4eb2,vendor_not_seen_in_a_while,2019-08-14,invoice,9fe35cea-622b-444f-8af1-a6f487fd4eb2
30,19daf667-fa94-4fbb-ad35-f3d64b009f71,First new bill in 10.0 months from vendor e2091bc3-f9d7-4647-a1db-1f648b438b74,vendor_not_seen_in_a_while,2020-11-14,invoice,e2091bc3-f9d7-4647-a1db-1f648b438b74
31,f4d98311-c614-425d-a9cc-917f904d8fd0,First new bill in 8.0 months from vendor 6d09ba63-c183-41bd-bfd9-ec187989e8cb,vendor_not_seen_in_a_while,2020-03-26,invoice,6d09ba63-c183-41bd-bfd9-ec187989e8cb
32,3d01fa12-9eef-4a0a-b2d0-31c0b3f76532,First new bill in 3.0 months from vendor 185a63c2-5614-4c7c-ad7a-985ba6bd8195,vendor_not_seen_in_a_while,2019-06-30,invoice,185a63c2-5614-4c7c-ad7a-985ba6bd8195
33,e416a5b4-1f41-4ba7-ad2e-7066214d3d0e,First new bill in 3.0 months from vendor a9a72190-f998-451d-bf0a-d37bdc4cf91d,vendor_not_seen_in_a_while,2020-05-20,invoice,a9a72190-f998-451d-bf0a-d37bdc4cf91d
34,54f5ec25-6b03-4740-ac85-2b212fed349a,First new bill in 3.0 months from vendor a9a72190-f998-451d-bf0a-d37bdc4cf91d,vendor_not_seen_in_a_while,2020-11-17,invoice,a9a72190-f998-451d-bf0a-d37bdc4cf91d
35,cf8209c4-42a1-44cb-8a45-dfb15c978943,First new bill in 8.0 months from vendor 35c065e2-87fa-4c57-b0b8-c7843433b791,vendor_not_seen_in_a_while,2020-01-25,invoice,35c065e2-87fa-4c57-b0b8-c7843433b791
36,19f5d896-2fec-407f-bef5-0ffdf8ceb485,First new bill in 4.0 months from vendor 35c065e2-87fa-4c57-b0b8-c7843433b791,vendor_not_seen_in_a_while,2020-06-26,invoice,35c065e2-87fa-4c57-b0b8-c7843433b791
37,c517aa0a-9f83-4623-aa31-580145e12fec,First new bill in 12.0 months from vendor 3629f0a6-158e-4027-92c7-26806c316bc2,vendor_not_seen_in_a_while,2019-05-01,invoice,3629f0a6-158e-4027-92c7-26806c316bc2
38,4b26c1c0-8487-4215-9375-3999292cb51c,First new bill in 4.0 months from vendor 3629f0a6-158e-4027-92c7-26806c316bc2,vendor_not_seen_in_a_while,2019-08-31,invoice,3629f0a6-158e-4027-92c7-26806c316bc2
39,45845f82-06fe-4eb5-b18f-2709339b5b2e,First new bill in 8.0 months from vendor 3629f0a6-158e-4027-92c7-26806c316bc2,vendor_not_seen_in_a_while,2020-05-15,invoice,3629f0a6-158e-4027-92c7-26806c316bc2
